image_id,gender,age,headshape,hair,hair_type,hair_color,forehead_occlusion,eyebrow_size,eyebrow_shape,eyes_color,eyes_size,eyes_shape,bags_under_eyes,narrow_eyes,eye_makeup,eyes_occlusion,nose_size,lips_size,lipstick,mouth_open,chin_shape,mustache,beard,goatee,sideburns,makeup,skin,expression,smile,glasses,hat
00388.jpg,male,young,round head,,,black hair,,thick eyebrow,angled eyebrow,black eyes,small eyes,deep set eyes,,,eye makeup,,big nose,,,closed mouth,,,beard,goatee,,less makeup,fair skin,neutral,,,
03662.jpg,woman,young,oval head,,wavy hair,black hair,,thick eyebrow,angled eyebrow,gray eyes,normal eyes,upturned eyes,,,eye makeup,,pointy nose,big lips,lipstick,closed mouth,,,,,,less makeup,fair skin,neutral,,,
02254.jpg,woman,young,oval head,receding hair,,,,thin eyebrow,angled eyebrow,brown eyes,normal eyes,almond eyes,,,eye makeup,,,full lips,lipstick,open mouth,,,,,,wearing makeup,fair skin,happiness,smile,,
03680.jpg,man,young,square head,receding hair,,black hair,,normal eyebrow,straight eyebrow,black eyes,normal eyes,almond eyes,,,,,bulbous nose,,,open mouth,double chin,mustache,beard,goatee,,less makeup,brown skin,happiness,happy,sunglasses,
02363.jpg,man,aged,oval head,,,brown hair,,normal eyebrow,straight eyebrow,blue eyes,small eyes,deep set eyes,bags under eyes,,,,bulbous nose,thick lips,,closed mouth,,,beard,,,less makeup,white skin,happiness,happy,,
01462.jpg,woman,young,triangle head,,wavy hair,,forehead occlusion,normal eyebrow,round eyebrow,brown eyes,big eyes,almond eyes,,,eye makeup,,big nose,,lipstick,open mouth,,,,,,wearing makeup,fair skin,happiness,happy,,hat
01332.jpg,female,young,triangle head,,,brown hair,,thick eyebrow,round eyebrow,brown eyes,small eyes,deep set eyes,,narrow eyes,eye makeup,,,big lips,lipstick,open mouth,,,,,,heavy makeup,white skin,happiness,happy,,
04058.jpg,man,aged,round head,,straight hair,black hair,,thin eyebrow,round eyebrow,brown eyes,small eyes,deep set eyes,bags under eyes,,,,big nose,thick lips,,closed mouth,double chin,,,,,less makeup,black skin,happiness,happy,,
02220.jpg,female,old,round head,,,blonde hair,,thin eyebrow,round eyebrow,gray eyes,normal eyes,upturned eyes,,,,,,,lipstick,closed mouth,,,,,,less makeup,white skin,happiness,smile,,
03769.jpg,female,young,round head,,,blond hair,,normal eyebrow,angled eyebrow,blue eyes,normal eyes,almond eyes,,,eye makeup,,,big lips,lipstick,closed mouth,,,,,,heavy makeup,white skin,neutral,,,
00269.jpg,woman,young,oval head,,wavy hair,brown hair,,thin eyebrow,straight eyebrow,gray eyes,normal eyes,deep set eyes,,,eye makeup,,,,lipstick,closed mouth,,,,,,wearing makeup,white skin,neutral,,,
02898.jpg,man,old,oval head,receding hair,straight hair,gray hair,,thick eyebrow,straight eyebrow,black eyes,small eyes,almond eyes,bags under eyes,,,,big nose,,,closed mouth,,mustache,beard,goatee,sideburns,less makeup,white skin,neutral,,,
04634.jpg,man,old,triangle head,,wavy hair,brown hair,,thick eyebrow,angled eyebrow,brown eyes,normal eyes,downturned eyes,,,eye makeup,,,,,closed mouth,,mustache,beard,goatee,sideburns,less makeup,white skin,happiness,,,
01342.jpg,female,young,oval head,,,black hair,,thick eyebrow,angled eyebrow,black eyes,small eyes,upturned eyes,bags under eyes,,eye makeup,,pointy nose,big lips,lipstick,open mouth,,,,,,heavy makeup,white skin,happiness,happy,,
04501.jpg,woman,young,oval head,,wavy hair,blonde hair,,thin eyebrow,straight eyebrow,brown eyes,normal eyes,almond eyes,,,eye makeup,,pointy nose,thick lips,lipstick,closed mouth,,,,,,wearing makeup,fair skin,neutral,,,
02466.jpg,woman,young,round head,,straight hair,brown hair,,thin eyebrow,round eyebrow,blue eyes,normal eyes,deep set eyes,bags under eyes,,eye makeup,,,thick lips,lipstick,closed mouth,,,,,,less makeup,white skin,happiness,,,
00410.jpg,male,young,round head,,,black hair,,thick eyebrow,straight eyebrow,black eyes,normal eyes,almond eyes,,,,,big nose,,,closed mouth,,,beard,goatee,sideburns,less makeup,fair skin,neutral,,,
02810.jpg,woman,old,square head,,wavy hair,blonde hair,,thin eyebrow,angled eyebrow,gray eyes,normal eyes,deep set eyes,,,eye makeup,,pointy nose,thick lips,lipstick,open mouth,,,,,,heavy makeup,fair skin,happiness,happy,,
02580.jpg,man,aged,rectangle head,receding hair,,brown hair,,normal eyebrow,round eyebrow,black eyes,small eyes,deep set eyes,bags under eyes,narrow eyes,,,bulbous nose,,,closed mouth,double chin,mustache,beard,,,less makeup,white skin,happiness,happy,,
03789.jpg,woman,young,oval head,,wavy hair,brown hair,,thin eyebrow,straight eyebrow,black eyes,small eyes,deep set eyes,bags under eyes,,eye makeup,,,big lips,lipstick,open mouth,,,,,,less makeup,white skin,happiness,happy,,
01706.jpg,male,old,oval head,,,blonde hair,,normal eyebrow,straight eyebrow,blue eyes,normal eyes,deep set eyes,bags under eyes,,,,bulbous nose,,,open mouth,,,,,,less makeup,wheat colour skin,happiness,smile,,
02144.jpg,woman,young,rectangle head,,wavy hair,brown hair,,normal eyebrow,straight eyebrow,gray eyes,normal eyes,almond eyes,,,eye makeup,,,big lips,lipstick,open mouth,,,,,,heavy makeup,white skin,neutral,,,
01223.jpg,male,old,rectangle head,,,black hair,,thick eyebrow,angled eyebrow,brown eyes,normal eyes,almond eyes,bags under eyes,,,,bulbous nose,thick lips,,closed mouth,,,beard,,,less makeup,white skin,happiness,happy,,
03219.jpg,man,old,triangle head,,,gray hair,,normal eyebrow,straight eyebrow,brown eyes,big eyes,upturned eyes,bags under eyes,,,,bulbous nose,,,closed mouth,,,,,,less makeup,white skin,neutral,,,
03779.jpg,woman,young,oval head,,straight hair,red hair,,normal eyebrow,straight eyebrow,brown eyes,normal eyes,upturned eyes,,,eye makeup,,,,lipstick,open mouth,,,,,,less makeup,white skin,happiness,,,
02090.jpg,female,young,triangle head,,wavy hair,brown hair,,normal eyebrow,round eyebrow,brown eyes,normal eyes,almond eyes,,,eye makeup,,big nose,,lipstick,open mouth,,,,,,heavy makeup,wheat colour skin,happiness,happy,,
01701.jpg,female,young,oval head,,wavy hair,brown hair,,thin eyebrow,straight eyebrow,green eyes,small eyes,upturned eyes,,narrow eyes,eye makeup,,,,lipstick,open mouth,,,,,,heavy makeup,white skin,happiness,smile,,
04335.jpg,woman,young,oval head,,straight hair,blonde hair,forehead occlusion,normal eyebrow,straight eyebrow,blue eyes,normal eyes,almond eyes,,,eye makeup,eyes occlusion,,,lipstick,closed mouth,,,,,,less makeup,white skin,neutral,,,
01503.jpg,male,aged,oval head,,,black hair,,bushy eyebrow,straight eyebrow,black eyes,small eyes,upturned eyes,bags under eyes,,,,big nose,big lips,,open mouth,,,beard,goatee,,less makeup,fair skin,happiness,happy,,
00016.jpg,woman,aged,square head,,wavy hair,brown hair,,thin eyebrow,angled eyebrow,blue eyes,normal eyes,almond eyes,,,eye makeup,,,,lipstick,open mouth,,,,,,less makeup,fair skin,neutral,,,
02174.jpg,male,young,rectangle head,,,black hair,,thick eyebrow,round eyebrow,gray eyes,normal eyes,downturned eyes,bags under eyes,,eye makeup,,pointy nose,,,closed mouth,,,,,,less makeup,fair skin,happiness,,,
03512.jpg,female,young,square head,,straight hair,brown hair,,thin eyebrow,angled eyebrow,brown eyes,small eyes,downturned eyes,,,eye makeup,,,full lips,lipstick,closed mouth,,,,,,wearing makeup,brown skin,neutral,,,
04167.jpg,female,young,oval head,,wavy hair,brown hair,,bushy eyebrow,straight eyebrow,brown eyes,big eyes,almond eyes,,,eye makeup,,pointy nose,,lipstick,open mouth,,,,,,heavy makeup,pale skin,neutral,,,
04260.jpg,male,young,square head,,,black hair,,thick eyebrow,straight eyebrow,blue eyes,small eyes,deep set eyes,bags under eyes,,eye makeup,,,,,closed mouth,,,beard,goatee,,less makeup,white skin,neutral,,,
01430.jpg,man,old,triangle head,receding hair,,blonde hair,,normal eyebrow,round eyebrow,blue eyes,small eyes,deep set eyes,bags under eyes,,,,bulbous nose,,,open mouth,,,,,,less makeup,wheat colour skin,happiness,happy,,
00944.jpg,female,young,round head,,straight hair,brown hair,,normal eyebrow,straight eyebrow,blue eyes,small eyes,almond eyes,,,eye makeup,,,,,open mouth,,,,,,less makeup,white skin,happiness,smile,,
00452.jpg,man,young,triangle head,,,,forehead occlusion,normal eyebrow,round eyebrow,blue eyes,small eyes,almond eyes,bags under eyes,,,,pointy nose,big lips,,open mouth,,mustache,beard,,,less makeup,brown skin,happiness,,,hat
00095.jpg,man,young,oval head,,,black hair,,thin eyebrow,straight eyebrow,brown eyes,normal eyes,almond eyes,,,,,bulbous nose,full lips,,open mouth,,,,,,less makeup,white skin,happiness,,,
03516.jpg,man,young,rectangle head,,,brown hair,,thick eyebrow,straight eyebrow,blue eyes,small eyes,deep set eyes,,,,,big nose,,,closed mouth,,,beard,,,less makeup,white skin,neutral,,,
01116.jpg,male,old,oval head,receding hair,straight hair,gray hair,,normal eyebrow,round eyebrow,blue eyes,normal eyes,almond eyes,,,,,,,,open mouth,double chin,,,,,less makeup,white skin,happiness,smile,,
04319.jpg,man,young,triangle head,,straight hair,black hair,,thick eyebrow,straight eyebrow,black eyes,small eyes,deep set eyes,bags under eyes,narrow eyes,eye makeup,,big nose,,,open mouth,,,beard,,,less makeup,pale skin,neutral,,,
01008.jpg,male,old,round head,receding hair,,brown hair,,thin eyebrow,angled eyebrow,black eyes,small eyes,downturned eyes,bags under eyes,narrow eyes,,,big nose,,,closed mouth,double chin,mustache,beard,,,less makeup,white skin,neutral,,,
02594.jpg,female,young,triangle head,,,blonde hair,,thin eyebrow,round eyebrow,green eyes,big eyes,almond eyes,,,eye makeup,,pointy nose,,lipstick,open mouth,,,,,,wearing makeup,fair skin,neutral,,,
03654.jpg,male,young,oval head,,straight hair,brown hair,,thick eyebrow,round eyebrow,brown eyes,normal eyes,downturned eyes,,,eye makeup,,,,,closed mouth,,,beard,,,less makeup,white skin,happiness,,,
02712.jpg,man,young,round head,,,brown hair,,thick eyebrow,straight eyebrow,black eyes,big eyes,almond eyes,bags under eyes,,,,big nose,,,closed mouth,,,,,,less makeup,white skin,happiness,smile,,hat
01628.jpg,male,old,oval head,,,black hair,,bushy eyebrow,angled eyebrow,brown eyes,normal eyes,almond eyes,,,,,,thick lips,,open mouth,,,beard,,,less makeup,fair skin,happiness,,,
01578.jpg,woman,young,round head,,,black hair,,normal eyebrow,angled eyebrow,black eyes,normal eyes,almond eyes,,,eye makeup,,,full lips,lipstick,open mouth,,,,,,heavy makeup,white skin,happiness,smile,,
04430.jpg,woman,young,oval head,,straight hair,brown hair,,normal eyebrow,angled eyebrow,black eyes,normal eyes,almond eyes,,,eye makeup,,pointy nose,,lipstick,closed mouth,,,,,,wearing makeup,wheat colour skin,happiness,happy,,
04349.jpg,female,young,square head,,wavy hair,black hair,,bushy eyebrow,straight eyebrow,black eyes,normal eyes,deep set eyes,,,eye makeup,,pointy nose,full lips,lipstick,open mouth,,,,,,wearing makeup,white skin,happiness,smile,,
00806.jpg,female,young,triangle head,,,black hair,,thin eyebrow,angled eyebrow,brown eyes,big eyes,almond eyes,,,eye makeup,,big nose,thick lips,lipstick,open mouth,,,,,,heavy makeup,wheat colour skin,neutral,,,
04731.jpg,woman,young,oval head,,straight hair,blonde hair,,normal eyebrow,round eyebrow,blue eyes,small eyes,upturned eyes,,,eye makeup,,,,lipstick,closed mouth,,,,,,heavy makeup,fair skin,happiness,happy,,
04613.jpg,female,young,oval head,,wavy hair,brown hair,,normal eyebrow,straight eyebrow,black eyes,normal eyes,deep set eyes,bags under eyes,,eye makeup,,,,lipstick,open mouth,,,,,,heavy makeup,fair skin,happiness,smile,,
04158.jpg,woman,young,round head,,wavy hair,blonde hair,,normal eyebrow,angled eyebrow,blue eyes,big eyes,upturned eyes,,,eye makeup,,,,lipstick,open mouth,,,,,,wearing makeup,white skin,happiness,happy,,
02000.jpg,man,young,oval head,,wavy hair,black hair,,normal eyebrow,round eyebrow,black eyes,normal eyes,deep set eyes,bags under eyes,narrow eyes,eye makeup,,bulbous nose,,,open mouth,,,,,,less makeup,wheat colour skin,neutral,,,
02216.jpg,female,young,oval head,,wavy hair,brown hair,,thin eyebrow,round eyebrow,brown eyes,normal eyes,almond eyes,,,eye makeup,,,big lips,lipstick,open mouth,,,,,,heavy makeup,white skin,happiness,happy,,
02332.jpg,female,young,round head,,wavy hair,blonde hair,,normal eyebrow,straight eyebrow,green eyes,small eyes,deep set eyes,bags under eyes,,eye makeup,,big nose,thick lips,lipstick,open mouth,,,,,,wearing makeup,white skin,happiness,smile,,
03114.jpg,female,young,oval head,,,blonde hair,,normal eyebrow,straight eyebrow,blue eyes,normal eyes,upturned eyes,bags under eyes,,,,,,lipstick,open mouth,,,,,,less makeup,pale skin,happiness,happy,,
02202.jpg,female,young,round head,,wavy hair,brown hair,,thick eyebrow,straight eyebrow,gray eyes,normal eyes,upturned eyes,,narrow eyes,eye makeup,,pointy nose,big lips,lipstick,open mouth,,,,,,heavy makeup,fair skin,happiness,smile,,
02429.jpg,woman,young,oval head,,,black hair,,thin eyebrow,round eyebrow,black eyes,small eyes,almond eyes,,,eye makeup,,big nose,full lips,lipstick,open mouth,,,,,,wearing makeup,brown skin,happiness,happy,,
03089.jpg,male,aged,square head,,,gray hair,,thick eyebrow,round eyebrow,green eyes,normal eyes,almond eyes,bags under eyes,,,,big nose,full lips,,closed mouth,,,,,,less makeup,white skin,neutral,,,
00606.jpg,woman,young,triangle head,receding hair,,brown hair,,normal eyebrow,straight eyebrow,brown eyes,small eyes,almond eyes,,narrow eyes,eye makeup,,,,,open mouth,,,,,,less makeup,white skin,happiness,smile,,
01086.jpg,male,old,oval head,,,brown hair,,thick eyebrow,straight eyebrow,brown eyes,normal eyes,deep set eyes,bags under eyes,,,,big nose,,,closed mouth,,,,,,less makeup,wheat colour skin,neutral,,,
03032.jpg,man,young,triangle head,,,black hair,,bushy eyebrow,straight eyebrow,blue eyes,normal eyes,almond eyes,,narrow eyes,eye makeup,,bulbous nose,thick lips,,closed mouth,,,beard,,,less makeup,wheat colour skin,neutral,,,
